restaurant,city,totalScore,total_reviews,historical_stars_avg,window_size,recent_sentiment,sentiment_gap,significant,direction,positive_ratio,negative_ratio,recent_stars_avg
7-Eleven,Virginia Beach,2.6,25,2.64,1,0.9999369881991814,0.4799369881991814,True,improving,1.0,0.0,5.0
7-Eleven,Virginia Beach,2.6,25,2.64,3,-0.33322910441013304,-0.853229104410133,True,declining,0.3333333333333333,0.6666666666666666,2.3333333333333335
7-Eleven,Virginia Beach,2.6,25,2.64,5,-0.19991244271195227,-0.7199124427119523,True,declining,0.4,0.6,2.6
7-Eleven,Virginia Beach,2.6,25,2.64,7,-0.14277603071810044,-0.6627760307181004,True,declining,0.42857142857142855,0.5714285714285714,2.7142857142857144
7-Eleven,Virginia Beach,2.6,25,2.64,10,0.2000381034811404,-0.31996189651885965,True,declining,0.6,0.4,3.1
Ashley's On Greenwich,Virginia Beach,3.3,91,3.340659340659341,1,0.9999421535124785,0.3399421535124786,True,improving,1.0,0.0,5.0
Ashley's On Greenwich,Virginia Beach,3.3,91,3.340659340659341,3,0.9999424786172452,0.33994247861724525,True,improving,1.0,0.0,4.666666666666667
Ashley's On Greenwich,Virginia Beach,3.3,91,3.340659340659341,5,0.20003212092181427,-0.45996787907818565,True,declining,0.6,0.4,3.2
Ashley's On Greenwich,Virginia Beach,3.3,91,3.340659340659341,7,0.14291585532792114,-0.5170841446720787,True,declining,0.5714285714285714,0.42857142857142855,3.142857142857143
Ashley's On Greenwich,Virginia Beach,3.3,91,3.340659340659341,10,-0.09991487531761738,-0.7599148753176173,True,declining,0.4,0.5,2.7
Big Apple Pizzeria,Virginia Beach,4.0,150,4.133333333333334,1,4.414394466931314e-05,-0.7999558560553307,True,declining,0.0,0.0,3.0
Big Apple Pizzeria,Virginia Beach,4.0,150,4.133333333333334,3,0.6666467931226804,-0.13335320687731966,False,declining,0.6666666666666666,0.0,4.333333333333333
Big Apple Pizzeria,Virginia Beach,4.0,150,4.133333333333334,5,0.799967632039363,-3.236796063699199e-05,False,stable,0.8,0.0,4.6
Big Apple Pizzeria,Virginia Beach,4.0,150,4.133333333333334,7,0.8571050713397563,0.057105071339756286,False,stable,0.8571428571428571,0.0,4.714285714285714
Big Apple Pizzeria,Virginia Beach,4.0,150,4.133333333333334,10,0.8999581697139121,0.09995816971391203,False,stable,0.9,0.0,4.8
Biryani Hub,Norfolk,4.7,150,4.966666666666667,1,0.9999486830892224,0.0599486830892223,False,stable,1.0,0.0,5.0
Biryani Hub,Norfolk,4.7,150,4.966666666666667,3,0.9998456660895751,0.05984566608957509,False,stable,1.0,0.0,4.333333333333333
Biryani Hub,Norfolk,4.7,150,4.966666666666667,5,0.9998869383422934,0.059886938342293305,False,stable,1.0,0.0,4.6
Biryani Hub,Norfolk,4.7,150,4.966666666666667,7,0.9999046294797366,0.059904629479736515,False,stable,1.0,0.0,4.714285714285714
Biryani Hub,Norfolk,4.7,150,4.966666666666667,10,0.9999179602381579,0.059917960238157875,False,stable,1.0,0.0,4.8
Bodacious Pizza & Grill,Virginia Beach,4.6,150,4.5,1,0.9999490649083981,0.07994906490839815,False,stable,1.0,0.0,5.0
Bodacious Pizza & Grill,Virginia Beach,4.6,150,4.5,3,0.9999364810121731,0.07993648101217321,False,stable,1.0,0.0,4.666666666666667
Bodacious Pizza & Grill,Virginia Beach,4.6,150,4.5,5,0.9999413325236098,0.07994133252360991,False,stable,1.0,0.0,4.8
Bodacious Pizza & Grill,Virginia Beach,4.6,150,4.5,7,0.9999434793754355,0.07994347937543556,False,stable,1.0,0.0,4.857142857142857
Bodacious Pizza & Grill,Virginia Beach,4.6,150,4.5,10,0.5999893775182077,-0.32001062248179224,True,declining,0.8,0.2,4.1
Boil Bay Seafood City,Norfolk,4.2,150,4.046666666666667,1,0.9999484087991841,0.15994840879918404,False,improving,1.0,0.0,5.0
Boil Bay Seafood City,Norfolk,4.2,150,4.046666666666667,3,0.9999391927034732,0.15993919270347312,False,improving,1.0,0.0,4.333333333333333
Boil Bay Seafood City,Norfolk,4.2,150,4.046666666666667,5,0.9999390653291677,0.15993906532916757,False,improving,1.0,0.0,4.4
Boil Bay Seafood City,Norfolk,4.2,150,4.046666666666667,7,0.9999417740763874,0.15994177407638732,False,improving,1.0,0.0,4.571428571428571
Boil Bay Seafood City,Norfolk,4.2,150,4.046666666666667,10,0.7999657131626675,-0.04003428683733257,False,stable,0.9,0.1,4.4
Boss Queens Soul Cafe,Norfolk,4.1,150,4.026666666666666,1,0.9999486560922569,0.17994865609225696,False,improving,1.0,0.0,5.0
Boss Queens Soul Cafe,Norfolk,4.1,150,4.026666666666666,3,0.33335453557181105,-0.4866454644281889,True,declining,0.6666666666666666,0.3333333333333333,4.0
Boss Queens Soul Cafe,Norfolk,4.1,150,4.026666666666666,5,0.20003567273076933,-0.6199643272692306,True,declining,0.6,0.4,3.6
Boss Queens Soul Cafe,Norfolk,4.1,150,4.026666666666666,7,0.4285822079346076,-0.39141779206539234,True,declining,0.7142857142857143,0.2857142857142857,4.0
Boss Queens Soul Cafe,Norfolk,4.1,150,4.026666666666666,10,0.599992022570835,-0.220007977429165,True,declining,0.8,0.2,4.3
Boulevard Stop Mart - Krispy Krunchy Chicken,Virginia Beach,4.3,116,4.301724137931035,1,0.9999484087991841,0.13994840879918413,False,improving,1.0,0.0,5.0
Boulevard Stop Mart - Krispy Krunchy Chicken,Virginia Beach,4.3,116,4.301724137931035,3,0.9999435188842076,0.13994351888420764,False,improving,1.0,0.0,4.666666666666667
Boulevard Stop Mart - Krispy Krunchy Chicken,Virginia Beach,4.3,116,4.301724137931035,5,0.799964629588613,-0.06003537041138696,False,stable,0.8,0.0,4.4
Boulevard Stop Mart - Krispy Krunchy Chicken,Virginia Beach,4.3,116,4.301724137931035,7,0.5714194760822215,-0.28858052391777844,True,declining,0.7142857142857143,0.14285714285714285,4.0
Boulevard Stop Mart - Krispy Krunchy Chicken,Virginia Beach,4.3,116,4.301724137931035,10,0.40000972335441415,-0.45999027664558584,True,declining,0.6,0.2,3.8
Boyd Dining Centre,Virginia Beach,3.0,8,3.0,1,-0.9998332110362822,-1.599833211036282,True,declining,0.0,1.0,1.0
Boyd Dining Centre,Virginia Beach,3.0,8,3.0,3,-0.3332431807004855,-0.9332431807004855,True,declining,0.3333333333333333,0.6666666666666666,2.0
Boyd Dining Centre,Virginia Beach,3.0,8,3.0,5,-0.19992410089543414,-0.7999241008954341,True,declining,0.4,0.6,2.4
Boyd Dining Centre,Virginia Beach,3.0,8,3.0,7,8.623843573435455e-05,-0.5999137615642656,True,declining,0.42857142857142855,0.42857142857142855,2.7142857142857144
Burger King (Newtown Rd),Virginia Beach,3.2,150,3.013333333333333,1,0.9999415569990733,0.35994155699907326,True,improving,1.0,0.0,5.0
Burger King (Newtown Rd),Virginia Beach,3.2,150,3.013333333333333,3,0.9999415569990733,0.35994155699907326,True,improving,1.0,0.0,5.0
Burger King (Newtown Rd),Virginia Beach,3.2,150,3.013333333333333,5,0.9999417140431085,0.3599417140431085,True,improving,1.0,0.0,4.8
Burger King (Newtown Rd),Virginia Beach,3.2,150,3.013333333333333,7,0.7142814871021106,0.07428148710211058,False,stable,0.8571428571428571,0.14285714285714285,4.428571428571429
Burger King (Newtown Rd),Virginia Beach,3.2,150,3.013333333333333,10,0.500018863851571,-0.139981136148429,False,declining,0.7,0.2,3.9
Burger King (Princess Anne Rd),Virginia Beach,3.5,150,3.54,1,7.069135938453529e-05,-0.6999293086406154,True,declining,0.0,0.0,3.0
Burger King (Princess Anne Rd),Virginia Beach,3.5,150,3.54,3,0.6666559102426072,-0.03334408975739278,False,stable,0.6666666666666666,0.0,4.333333333333333
Burger King (Princess Anne Rd),Virginia Beach,3.5,150,3.54,5,0.40002540767251193,-0.299974592327488,True,declining,0.6,0.2,4.0
Burger King (Princess Anne Rd),Virginia Beach,3.5,150,3.54,7,0.28574855121318316,-0.4142514487868168,True,declining,0.5714285714285714,0.2857142857142857,3.5714285714285716
Burger King (Princess Anne Rd),Virginia Beach,3.5,150,3.54,10,0.3000299033438814,-0.39997009665611855,True,declining,0.6,0.3,3.6
California Pizza Kitchen,Virginia Beach,4.2,150,4.3933333333333335,1,0.9999352167880879,0.15993521678808786,False,improving,1.0,0.0,4.0
California Pizza Kitchen,Virginia Beach,4.2,150,4.3933333333333335,3,0.33334946714019137,-0.5066505328598088,True,declining,0.6666666666666666,0.3333333333333333,3.3333333333333335
California Pizza Kitchen,Virginia Beach,4.2,150,4.3933333333333335,5,0.40000450332041443,-0.43999549667958565,True,declining,0.6,0.2,3.4
California Pizza Kitchen,Virginia Beach,4.2,150,4.3933333333333335,7,0.5714171826523914,-0.2685828173476087,True,declining,0.7142857142857143,0.14285714285714285,3.857142857142857
California Pizza Kitchen,Virginia Beach,4.2,150,4.3933333333333335,10,0.699976577925433,-0.14002342207456708,False,declining,0.8,0.1,4.2
Captain D's,Norfolk,3.6,150,3.8733333333333335,1,4.045817622425811e-05,-0.7199595418237758,True,declining,0.0,0.0,3.0
Captain D's,Norfolk,3.6,150,3.8733333333333335,3,0.6666457585915309,-0.053354241408469116,False,stable,0.6666666666666666,0.0,4.333333333333333
Captain D's,Norfolk,3.6,150,3.8733333333333335,5,0.599985794701732,-0.120014205298268,False,declining,0.6,0.0,4.2
Captain D's,Norfolk,3.6,150,3.8733333333333335,7,0.7142608664852952,-0.005739133514704786,False,stable,0.7142857142857143,0.0,4.285714285714286
Captain D's,Norfolk,3.6,150,3.8733333333333335,10,0.799967067114736,0.079967067114736,False,stable,0.8,0.0,4.4
Charleys Cheesesteaks and Wings,Virginia Beach,3.5,40,3.05,1,-0.9998356105462416,-1.6998356105462415,True,declining,0.0,1.0,1.0
Charleys Cheesesteaks and Wings,Virginia Beach,3.5,40,3.05,3,-0.9998347083892535,-1.6998347083892535,True,declining,0.0,1.0,1.0
Charleys Cheesesteaks and Wings,Virginia Beach,3.5,40,3.05,5,-0.19992146151387846,-0.8999214615138784,True,declining,0.4,0.6,2.4
Charleys Cheesesteaks and Wings,Virginia Beach,3.5,40,3.05,7,-0.14277825380184903,-0.842778253801849,True,declining,0.42857142857142855,0.5714285714285714,2.7142857142857144
Charleys Cheesesteaks and Wings,Virginia Beach,3.5,40,3.05,10,6.113576407105193e-05,-0.6999388642359289,True,declining,0.5,0.5,3.0
Chick-fil-A,Virginia Beach,4.4,150,4.033333333333333,1,-0.9998355614927994,-1.8798355614927995,True,declining,0.0,1.0,1.0
Chick-fil-A,Virginia Beach,4.4,150,4.033333333333333,3,0.3333539892117277,-0.5466460107882725,True,declining,0.6666666666666666,0.3333333333333333,3.6666666666666665
Chick-fil-A,Virginia Beach,4.4,150,4.033333333333333,5,0.5999917570467103,-0.28000824295328985,True,declining,0.8,0.2,4.2
Chick-fil-A,Virginia Beach,4.4,150,4.033333333333333,7,0.7142651877659334,-0.16573481223406672,False,declining,0.8571428571428571,0.14285714285714285,4.428571428571429
Chick-fil-A,Virginia Beach,4.4,150,4.033333333333333,10,0.7999701540759088,-0.08002984592409135,False,stable,0.9,0.1,4.6
Chinatown restaurant,Virginia Beach,4.2,121,4.198347107438017,1,-0.9998305873690859,-1.839830587369086,True,declining,0.0,1.0,1.0
Chinatown restaurant,Virginia Beach,4.2,121,4.198347107438017,3,-0.333238380771037,-1.1732383807710371,True,declining,0.3333333333333333,0.6666666666666666,2.3333333333333335
Chinatown restaurant,Virginia Beach,4.2,121,4.198347107438017,5,-0.1999239012161484,-1.0399239012161485,True,declining,0.4,0.6,2.4
Chinatown restaurant,Virginia Beach,4.2,121,4.198347107438017,7,0.14289416017833476,-0.6971058398216653,True,declining,0.5714285714285714,0.42857142857142855,3.0
Chinatown restaurant,Virginia Beach,4.2,121,4.198347107438017,10,0.40001035139817515,-0.43998964860182493,True,declining,0.7,0.3,3.6
Costa Del Mar 2,Virginia Beach,4.0,107,4.009345794392523,1,-0.9998353860099294,-1.7998353860099294,True,declining,0.0,1.0,1.0
Costa Del Mar 2,Virginia Beach,4.0,107,4.009345794392523,3,-0.33324200781322894,-1.133242007813229,True,declining,0.3333333333333333,0.6666666666666666,2.0
Costa Del Mar 2,Virginia Beach,4.0,107,4.009345794392523,5,-0.1999226226194478,-0.9999226226194479,True,declining,0.4,0.6,2.4
Costa Del Mar 2,Virginia Beach,4.0,107,4.009345794392523,7,-0.14278572007917975,-0.9427857200791798,True,declining,0.42857142857142855,0.5714285714285714,2.5714285714285716
Costa Del Mar 2,Virginia Beach,4.0,107,4.009345794392523,10,5.615258804465561e-05,-0.7999438474119553,True,declining,0.5,0.5,2.9
Cypress Point Country Club,Virginia Beach,4.3,150,4.193333333333333,1,0.9999481933299983,0.1399481933299983,False,improving,1.0,0.0,5.0
Cypress Point Country Club,Virginia Beach,4.3,150,4.193333333333333,3,0.33335455512764617,-0.5266454448723539,True,declining,0.6666666666666666,0.3333333333333333,4.0
Cypress Point Country Club,Virginia Beach,4.3,150,4.193333333333333,5,0.2000358041724329,-0.659964195827567,True,declining,0.6,0.4,3.6
Cypress Point Country Club,Virginia Beach,4.3,150,4.193333333333333,7,0.4285799289290276,-0.4314200710709724,True,declining,0.7142857142857143,0.2857142857142857,3.857142857142857
Cypress Point Country Club,Virginia Beach,4.3,150,4.193333333333333,10,0.5999904170218503,-0.2600095829781497,True,declining,0.8,0.2,4.2
Denny's,Norfolk,3.4,150,3.54,1,-0.9997914960779426,-1.6797914960779425,True,declining,0.0,1.0,2.0
Denny's,Norfolk,3.4,150,3.54,3,0.3333685319368213,-0.3466314680631786,True,declining,0.6666666666666666,0.3333333333333333,4.0
Denny's,Norfolk,3.4,150,3.54,5,0.20004322790911955,-0.4799567720908804,True,declining,0.6,0.4,3.6
Denny's,Norfolk,3.4,150,3.54,7,0.14290381189724735,-0.5370961881027526,True,declining,0.5714285714285714,0.42857142857142855,3.2857142857142856
Denny's,Norfolk,3.4,150,3.54,10,-0.09992602860959397,-0.7799260286095939,True,declining,0.4,0.5,2.8
Domino's Pizza,Virginia Beach,3.0,150,1.8533333333333333,1,-0.9998355403622056,-1.5998355403622055,True,declining,0.0,1.0,1.0
Domino's Pizza,Virginia Beach,3.0,150,1.8533333333333333,3,-0.9998363386574992,-1.5998363386574992,True,declining,0.0,1.0,1.0
Domino's Pizza,Virginia Beach,3.0,150,1.8533333333333333,5,-0.3998563917377981,-0.9998563917377981,True,declining,0.2,0.6,2.2
Domino's Pizza,Virginia Beach,3.0,150,1.8533333333333333,7,-0.571277763424851,-1.171277763424851,True,declining,0.14285714285714285,0.7142857142857143,1.8571428571428572
Domino's Pizza,Virginia Beach,3.0,150,1.8533333333333333,10,-0.6998443555773864,-1.2998443555773864,True,declining,0.1,0.8,1.6
El Rodeo Mexican Restaurant,Norfolk,4.5,150,4.453333333333333,1,0.9999490653411408,0.09994906534114079,False,stable,1.0,0.0,5.0
El Rodeo Mexican Restaurant,Norfolk,4.5,150,4.453333333333333,3,0.9999378853191483,0.09993788531914827,False,stable,1.0,0.0,4.666666666666667
El Rodeo Mexican Restaurant,Norfolk,4.5,150,4.453333333333333,5,0.5999854632750135,-0.30001453672498657,True,declining,0.8,0.2,4.0
El Rodeo Mexican Restaurant,Norfolk,4.5,150,4.453333333333333,7,0.7142562131786213,-0.1857437868213787,False,declining,0.8571428571428571,0.14285714285714285,4.142857142857143
El Rodeo Mexican Restaurant,Norfolk,4.5,150,4.453333333333333,10,0.7999640306021889,-0.10003596939781112,False,declining,0.9,0.1,4.4
Fu Hing Restaurant,Virginia Beach,4.0,150,3.6933333333333334,1,0.9999484087991841,0.19994840879918407,False,improving,1.0,0.0,5.0
Fu Hing Restaurant,Virginia Beach,4.0,150,3.6933333333333334,3,0.3333524779900645,-0.46664752200993553,True,declining,0.6666666666666666,0.3333333333333333,3.3333333333333335
Fu Hing Restaurant,Virginia Beach,4.0,150,3.6933333333333334,5,0.5999908503137124,-0.2000091496862877,True,declining,0.8,0.2,4.0
Fu Hing Restaurant,Virginia Beach,4.0,150,3.6933333333333334,7,0.7142640862192119,-0.08573591378078815,False,stable,0.8571428571428571,0.14285714285714285,4.142857142857143
Fu Hing Restaurant,Virginia Beach,4.0,150,3.6933333333333334,10,0.5999905787050439,-0.20000942129495614,True,declining,0.8,0.2,3.9
Fujian,Norfolk,3.6,150,3.8133333333333335,1,-0.9998355886694619,-1.7198355886694618,True,declining,0.0,1.0,1.0
Fujian,Norfolk,3.6,150,3.8133333333333335,3,0.3333537429763021,-0.38664625702369787,True,declining,0.6666666666666666,0.3333333333333333,3.6666666666666665
Fujian,Norfolk,3.6,150,3.8133333333333335,5,0.599991746211981,-0.12000825378801894,False,declining,0.8,0.2,4.2
Fujian,Norfolk,3.6,150,3.8133333333333335,7,0.7142650783797534,-0.00573492162024658,False,stable,0.8571428571428571,0.14285714285714285,4.428571428571429
Fujian,Norfolk,3.6,150,3.8133333333333335,10,0.4000128380685003,-0.3199871619314997,True,declining,0.7,0.3,3.8
Golden City,Virginia Beach,3.8,150,3.7666666666666666,1,0.9999479497308799,0.23994794973087985,False,improving,1.0,0.0,5.0
Golden City,Virginia Beach,3.8,150,3.7666666666666666,3,0.9999484929529542,0.23994849295295417,False,improving,1.0,0.0,5.0
Golden City,Virginia Beach,3.8,150,3.7666666666666666,5,0.599991655422361,-0.16000834457763902,False,declining,0.8,0.2,4.2
