restaurant,city,totalScore,total_reviews,historical_stars_avg,window_size,recent_sentiment,sentiment_gap,significant,direction,positive_ratio,negative_ratio,recent_stars_avg
7-Eleven,Virginia Beach,2.6,25,2.64,1,0.9999501248078176,0.4799501248078176,True,improving,1.0,0.0,5.0
7-Eleven,Virginia Beach,2.6,25,2.64,3,-0.33324434047882273,-0.8532443404788228,True,declining,0.3333333333333333,0.6666666666666666,2.3333333333333335
7-Eleven,Virginia Beach,2.6,25,2.64,5,-0.19992562903976707,-0.7199256290397671,True,declining,0.4,0.6,2.6
7-Eleven,Virginia Beach,2.6,25,2.64,7,-0.14278904244833396,-0.662789042448334,True,declining,0.42857142857142855,0.5714285714285714,2.7142857142857144
7-Eleven,Virginia Beach,2.6,25,2.64,10,0.20003253520702646,-0.31996746479297355,True,declining,0.6,0.4,3.1
Ashley's On Greenwich,Virginia Beach,3.3,91,3.340659340659341,1,0.9999519362097502,0.3399519362097503,True,improving,1.0,0.0,5.0
Ashley's On Greenwich,Virginia Beach,3.3,91,3.340659340659341,3,0.9999521197719806,0.3399521197719807,True,improving,1.0,0.0,4.666666666666667
Ashley's On Greenwich,Virginia Beach,3.3,91,3.340659340659341,5,0.20002432492803868,-0.45997567507196124,True,declining,0.6,0.4,3.2
Ashley's On Greenwich,Virginia Beach,3.3,91,3.340659340659341,7,0.14290279166607567,-0.5170972083339243,True,declining,0.5714285714285714,0.42857142857142855,3.142857142857143
Ashley's On Greenwich,Virginia Beach,3.3,91,3.340659340659341,10,-0.09993149088916894,-0.7599314908891689,True,declining,0.4,0.5,2.7
Big Apple Pizzeria,Virginia Beach,4.0,150,4.133333333333334,1,3.776130669795068e-05,-0.7999622386933021,True,declining,0.0,0.0,3.0
Big Apple Pizzeria,Virginia Beach,4.0,150,4.133333333333334,3,0.6666516209655547,-0.1333483790344453,False,declining,0.6666666666666666,0.0,4.333333333333333
Big Apple Pizzeria,Virginia Beach,4.0,150,4.133333333333334,5,0.7999746528587208,-2.5347141279219443e-05,False,stable,0.8,0.0,4.6
Big Apple Pizzeria,Virginia Beach,4.0,150,4.133333333333334,7,0.8571130304565759,0.0571130304565759,False,stable,0.8571428571428571,0.0,4.714285714285714
Big Apple Pizzeria,Virginia Beach,4.0,150,4.133333333333334,10,0.8999666821567759,0.09996668215677584,False,stable,0.9,0.0,4.8
Biryani Hub,Norfolk,4.7,150,4.966666666666667,1,0.9999588349563164,0.059958834956316376,False,stable,1.0,0.0,5.0
Biryani Hub,Norfolk,4.7,150,4.966666666666667,3,0.9998609114134314,0.059860911413431306,False,stable,1.0,0.0,4.333333333333333
Biryani Hub,Norfolk,4.7,150,4.966666666666667,5,0.9999001322658094,0.05990013226580937,False,stable,1.0,0.0,4.6
Biryani Hub,Norfolk,4.7,150,4.966666666666667,7,0.999916959540563,0.059916959540562975,False,stable,1.0,0.0,4.714285714285714
Biryani Hub,Norfolk,4.7,150,4.966666666666667,10,0.9999295112087255,0.05992951120872547,False,stable,1.0,0.0,4.8
Bodacious Pizza & Grill,Virginia Beach,4.6,150,4.5,1,0.9999587841586403,0.07995878415864033,False,stable,1.0,0.0,5.0
Bodacious Pizza & Grill,Virginia Beach,4.6,150,4.5,3,0.9999487725609564,0.07994877256095645,False,stable,1.0,0.0,4.666666666666667
Bodacious Pizza & Grill,Virginia Beach,4.6,150,4.5,5,0.9999527928565154,0.07995279285651546,False,stable,1.0,0.0,4.8
Bodacious Pizza & Grill,Virginia Beach,4.6,150,4.5,7,0.9999543627098928,0.07995436270989287,False,stable,1.0,0.0,4.857142857142857
Bodacious Pizza & Grill,Virginia Beach,4.6,150,4.5,10,0.5999914949973532,-0.32000850500264677,True,declining,0.8,0.2,4.1
Boil Bay Seafood City,Norfolk,4.2,150,4.046666666666667,1,0.9999588547564247,0.15995885475642457,False,improving,1.0,0.0,5.0
Boil Bay Seafood City,Norfolk,4.2,150,4.046666666666667,3,0.9999513713011101,0.15995137130111003,False,improving,1.0,0.0,4.333333333333333
